COMPANY,EXP,Industry ,JOB,Location.1,Min Salary,Max Salary,Salary.1
CÔNG TY CỔ PHẦN BẤT ĐỘNG SẢN XUÂN THẢO,1 năm,"BĐS,Xây dựng","Chuyên Viên Kinh Doanh Chủ Đầu Tư Tại Quận 2, Hồ Chí Minh, Đi Làm Ngay",Hồ Chí Minh,20,50,20-50
CÔNG TY CỔ PHẦN BBCINCORP,0-1 năm,Luật,Compliance Officer (AML/CFT),Hồ Chí Minh,0,0,0
CÔNG TY CỔ PHẦN BBCINCORP,3 năm,Luật,Legal Leader (Trưởng Nhóm Pháp Lý),Hồ Chí Minh,0,0,0
CÔNG TY CỔ PHẦN BỆNH VIỆN ĐA KHOA TÂM ANH TP.HỒ CHÍ MINH,1 năm,Biên phiên dịch,Biên Phiên Dịch Tiếng Anh Phòng Kế Hoạch Tổng Hợp,Hồ Chí Minh,0,0,0
CÔNG TY CỔ PHẦN BPO MẮT BÃO,0,"Chăm sóc khách hàng,Vận hành","Nhân Viên Chăm Sóc Khách Hàng, Thu Nhập Hấp Dẫn Từ 10 - 25 Triệu/Tháng++, Thử Việc Nhận 100% Lương C...",Hồ Chí Minh,10,25,10-25
CÔNG TY CỔ PHẦN BPO MẮT BÃO,0-1 năm,Biên phiên dịch,Nhân Viên Thương Mại Điện Tử LAZADA (Tiếng Trung),Hồ Chí Minh,10,12,10-12
CÔNG TY CỔ PHẦN BPO MẮT BÃO,0-1 năm,"Chăm sóc khách hàng,Vận hành",Nhân Viên Chăm Sóc Khách Hàng/Tổng Đài Viên Xử Lý Khiếu Nại Sàn TMĐT (Thuần CSKH No Sale)/Được Đào T...,Hồ Chí Minh,7,10,7-10
CÔNG TY CỔ PHẦN BPO MẮT BÃO,0-1 năm,"Chăm sóc khách hàng,Vận hành",QA - Giám Sát Chất Lượng Cuộc Gọi (Mảng Telesales) - Upto 14 Triệu,Hồ Chí Minh,0,0,0
CÔNG TY CỔ PHẦN BRAINMARK VIETNAM,5+ năm,"Marketing,PR,QC",Brand Manager (Sinh Năm 1995 Trở Về Trước),Hồ Chí Minh,16,0,16
CÔNG TY CỔ PHẦN CALL CALL HOTLINE,0,"Chăm sóc khách hàng,Vận hành",Nhân Viên Chăm Sóc Khách Hàng Hàng Không - Tiếng Anh -Làm Tại Tân Bình - Thu Nhập 9-11tr,Hồ Chí Minh,9,11,9-11
CÔNG TY CỔ PHẦN CẢNG CAM RANH,1 năm,,Nhân Viên Điều Độ Hiện Trường - Thu Nhập Hấp Dẫn,Khánh Hoà,15,0,15
CÔNG TY CỔ PHẦN CARA GROUP,3 năm,Luật,Chuyên Viên Pháp Lý Dự Án,Cần Thơ,0,0,0
CÔNG TY CỔ PHẦN CEN ACADEMY,0,"Giáo dục,Đào tạo",Chuyên Viên Tư Vấn Tuyển Sinh Du Học/ Sales (Lương Cứng 6 - 25 Triệu + Doanh Số) Không Yêu Cầu Kinh...,Hà Nội,0,0,0
CÔNG TY CỔ PHẦN CEN HCM,0,"BĐS,Xây dựng","Chuyên Viên Kinh Doanh/ Tư Vấn / Sales Bất Động Sản ( Hỗ Trợ Data Tiềm Năng, Lương Cứng Upto 12 Triệ...",Hồ Chí Minh,10,50,10-50
CÔNG TY CỔ PHẦN CHAIN SOLUTION,1 năm,"Bán lẻ,Dịch vụ đời sống",Nhân Viên Kế Toán Công Nợ - Upto 9 Triệu/Tháng,Hà Nội,7,9,7-9
CÔNG TY CỔ PHẦN CHAIN SOLUTION,1 năm,"Kế toán,Kiểm toán,Thuế",Nhân Viên Kế Toán Công Nợ - Upto 9 Triệu/Tháng,Hà Nội,7,9,7-9
CÔNG TY CỔ PHẦN CHẨN ĐOÁN HÌNH ẢNH LINKRAD,1 năm,"Bán lẻ,Dịch vụ đời sống","Nhân Viên Kinh Doanh [Thái Nguyên/ Thái Bình/ Thanh Hóa] - Lương Cơ Bản Upto 12Tr+++, Tối Thiểu 1 Nă...",Thái Nguyên,0,0,0
Công ty Cổ Phần Chăn Nuôi C.P. Việt Nam,0,Biên phiên dịch,Phiên Dịch Tiếng Thái,Bình Định,1,15,1-15
Công ty Cổ Phần Chăn Nuôi C.P. Việt Nam,1 năm,Biên phiên dịch,Phiên Dịch Viên Tiếng Thái Lan,Đồng Nai,10,15,10-15
CÔNG TY CỔ PHẦN CHÂU ĐÔ,2 năm,,Nhân Viên Chứng Từ Xuất Nhập Khẩu,Đà Nẵng,9,10,9-10
CÔNG TY CỔ PHẦN CHIẾU SÁNG CROLED,0,"BĐS,Xây dựng",Nhân Viên Thiết Kế Nội Thất- Chiếu Sáng (Thu Nhập 12-30 Triệu/Tháng) Tại Hà Nội,Hà Nội,12,30,12-30
CÔNG TY CỔ PHẦN CHIM SẺ ĐI NẮNG STUDIO,1 năm,Công nghệ thông tin,Nhân Viên Graphic Designer - Thiết Kế,Hà Nội,10,13,10-13
CÔNG TY CỔ PHẦN CHIM SẺ ĐI NẮNG STUDIO,1 năm,"Marketing,PR,QC",Nhân Viên Graphic Designer - Thiết Kế,Hà Nội,10,13,10-13
CÔNG TY CỔ PHẦN CMC,3 năm,,Quản Lý Admin Kho,Phú Thọ,9,11,9-11
CÔNG TY CỔ PHẦN CƠ ĐIỆN LẠNH NP VIỆT NAM,1 năm,"BĐS,Xây dựng",Kỹ Sư Cơ Điện Lạnh (MEP),Hà Nội,15,25,15-25
CÔNG TY CỔ PHẦN CƠ ĐIỆN LẠNH NP VIỆT NAM,1 năm,"Điện,Điện tử viễn thông",Kỹ Sư Cơ Điện Lạnh (MEP),Hà Nội,15,25,15-25
CÔNG TY CỔ PHẦN CƠ ĐIỆN SKY LINK,0,"BĐS,Xây dựng",Kỹ Sư Cơ Điện/Giám Sát Thi Công - Lương Upto 18 Triệu/Tháng,Hà Nội,8,18,8-18
CÔNG TY CỔ PHẦN CƠ ĐIỆN SKY LINK,0,"Điện,Điện tử viễn thông",Kỹ Sư Cơ Điện/Giám Sát Thi Công - Lương Upto 18 Triệu/Tháng,Hà Nội,8,18,8-18
CÔNG TY CỔ PHẦN CƠ KHÍ TRƯỜNG GIANG,1 năm,"Bán lẻ,Dịch vụ đời sống",Nhân Viên Thiết Kế Tủ Bếp (Lương Cứng Từ 15-20 Triệu),Hà Nội,15,20,15-20
CÔNG TY CỔ PHẦN CƠ KHÍ TRƯỜNG GIANG,1 năm,"BĐS,Xây dựng",Nhân Viên Thiết Kế Tủ Bếp (Lương Cứng Từ 15-20 Triệu),Hà Nội,15,20,15-20
CÔNG TY CỔ PHẦN CÔNG NGHỆ & SÁNG TẠO TRẺ TEKY HOLDINGS,0-1 năm,"Giáo dục,Đào tạo",Giáo Viên Công Nghệ/Sư Phạm Toán - Lương Cơ Bản Lên Đến 15tr/Tháng Tin Toàn Quốc,Hà Nội,8,15,8-15
CÔNG TY CỔ PHẦN CÔNG NGHỆ & SÁNG TẠO TRẺ TEKY HOLDINGS,1 năm,"Chăm sóc khách hàng,Vận hành",Chuyên Viên Dịch Vụ Khách Hàng Trung Tâm Giáo Dục [Toàn Quốc],Hà Nội,15,20,15-20
CÔNG TY CỔ PHẦN CÔNG NGHỆ & SÁNG TẠO TRẺ TEKY HOLDINGS,3 năm,"Chăm sóc khách hàng,Vận hành",Quản Lý Dịch Vụ Khách Hàng Ngành Giáo Dục [Lương Up To 50 Triệu/Tháng],"Hồ Chí Minh, Hà Nội",20,30,20-30
CÔNG TY CỔ PHẦN CÔNG NGHỆ & SÁNG TẠO TRẺ TEKY HOLDINGS,3 năm,"Kinh doanh,Bán hàng",Quản Lý Trung Tâm Giáo Dục/Center Manager [Toàn Quốc] - Thu Nhập Upto 40M++/Tháng,"Hà Nội, Hồ Chí Minh",30,40,30-40
CÔNG TY CỔ PHẦN CÔNG NGHỆ AIT,2 năm,Công nghệ thông tin,Java Developer (Junior/Middle),Hà Nội,15,35,15-35
CÔNG TY CỔ PHẦN CÔNG NGHỆ AROBID,0,Công nghệ thông tin,Operations Manager,Hồ Chí Minh,40,60,40-60
Công ty cổ phần công nghệ Bếp Toàn Cầu,1 năm,"BĐS,Xây dựng",Nhân Viên Thiết Kế Nội Thất- Lương Từ 13 Triệu/ Tháng + Thưởng KPI- Tại Hà Nội,Hà Nội,13,0,13
Công ty cổ phần công nghệ Bếp Toàn Cầu,1 năm,"BĐS,Xây dựng",Tin mới Nhân Viên Thiết Kế Nội Thất- Lương Từ 13 Triệu/ Tháng + Thưởng KPI- Tại Hà Nội,Hà Nội,13,0,13
